gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/25b5ea4f-1818-4bf8-b1e5-84f9b00e9b54_image.jpg	https://www.artportalen.se/Image/3625559					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/09f9c182-3e29-4ba6-8bc3-d63c22b66a36_image.jpg	https://www.artportalen.se/Image/3625560					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434251862	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/b8cbd7db-6817-4337-bc7d-8f7d3b899b14_image.jpg	https://www.artportalen.se/Image/3625562					2021-09-19T00:00:00Z				© all rights reserved	Iryna Axelsson
3434203541	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/d58e58aa-e9f6-441c-8893-1cdef1dcf564_image.jpg	https://www.artportalen.se/Image/3421598					2021-06-24T00:00:00Z				© all rights reserved	Elisabeth Holmblad
3434110749	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/5/9a872d41-0378-478c-a58f-ed738a69882a_image.jpg	https://www.artportalen.se/Image/3323799					2021-05-09T00:00:00Z				© all rights reserved	Amanda Ferm
3434110749	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/5/2784a74b-ff26-4101-a950-b4a719253565_image.jpg	https://www.artportalen.se/Image/3323798					2021-05-09T00:00:00Z				© all rights reserved	Amanda Ferm
3434110749	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/5/be3ec113-75c6-4e71-b3af-02c48a9b9143_image.jpg	https://www.artportalen.se/Image/3323797					2021-05-09T00:00:00Z				© all rights reserved	Amanda Ferm
3434032836	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/273cfab1-5f4a-49ce-bd60-6a86e0c8234f_image.jpg	https://www.artportalen.se/Image/3536151					2021-08-08T00:00:00Z				© all rights reserved	Robin Norsten
3434005881	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/7c8d98ec-1854-4772-9119-dc6dc5bfc042_image.jpg	https://www.artportalen.se/Image/3546745					2021-08-12T00:00:00Z				© all rights reserved	Eva Jonsson
3433985629	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/5c1eac2f-313c-4894-833b-d85ddcae4e13_image.jpg	https://www.artportalen.se/Image/3428260					2021-06-27T00:00:00Z				© all rights reserved	Andrej Hamler
3433985629	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/2b8ec8f7-d7ff-45c8-9a05-adc579dc3460_image.jpg	https://www.artportalen.se/Image/3428259					2021-06-27T00:00:00Z				© all rights reserved	Andrej Hamler
3433985629	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/0ced0fd9-3aa4-49c1-85a7-e40c69527a39_image.jpg	https://www.artportalen.se/Image/3428261					2021-06-27T00:00:00Z				© all rights reserved	Andrej Hamler
3433970654	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/ca3a46a1-bbb3-4678-9e3b-0be7c1443547_image.jpg	https://www.artportalen.se/Image/3605124					2021-09-08T00:00:00Z				© all rights reserved	Barbro Johansson
3433932556	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/bb41b405-d95a-4b79-a400-4ed608abb4d2_image.jpg	https://www.artportalen.se/Image/3599953					2021-09-06T00:00:00Z				© all rights reserved	Peter Sunesson
3433927921	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/f5858829-37a4-4516-9f92-4b9f21094fb2_image.jpg	https://www.artportalen.se/Image/3455922					2021-07-07T00:00:00Z				© all rights reserved	Stefan  Molin
3433927921	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/69944dbf-3e44-4453-ac29-b23971d799a7_image.jpg	https://www.artportalen.se/Image/3455920					2021-07-07T00:00:00Z				© all rights reserved	Stefan  Molin
3433927921	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/84775970-163f-4251-95a1-d1e08ee73f8c_image.jpg	https://www.artportalen.se/Image/3455926					2021-07-07T00:00:00Z				© all rights reserved	Stefan  Molin
3433927921	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/aa577471-f2d1-44a3-965e-39cacda54794_image.jpg	https://www.artportalen.se/Image/3455921					2021-07-07T00:00:00Z				© all rights reserved	Stefan  Molin
3433927921	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/a86d9db7-8854-4f09-a95d-0480e12e16fa_image.jpg	https://www.artportalen.se/Image/3455923					2021-07-07T00:00:00Z				© all rights reserved	Stefan  Molin
3433886460	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/5/06416f7d-4fd5-49df-8f5f-e9f84dd21a0c_image.jpg	https://www.artportalen.se/Image/3350924					2021-05-21T00:00:00Z				© all rights reserved	Sören Nilsson
3433860587	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/10/3c205d2c-35a1-4a07-9f1f-99f3288effba_image.jpg	https://www.artportalen.se/Image/3671241					2021-10-16T00:00:00Z				© all rights reserved	Oscar Junestedt
3433855932	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/7976ac20-0497-48fd-bc78-deaed612fc5c_image.jpg	https://www.artportalen.se/Image/3545766					2021-08-12T00:00:00Z				© all rights reserved	Charlotte Möller
3433855932	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/62d04735-ca63-4bcd-b3b3-2466c03ba26a_image.jpg	https://www.artportalen.se/Image/3545764					2021-08-12T00:00:00Z				© all rights reserved	Charlotte Möller
3433855932	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/df00c9af-2b25-4ddf-a9ce-9a187aa10113_image.jpg	https://www.artportalen.se/Image/3545767					2021-08-12T00:00:00Z				© all rights reserved	Charlotte Möller
3433855932	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/283ea19d-8245-4625-a5fb-4709eaafee28_image.jpg	https://www.artportalen.se/Image/3545765					2021-08-12T00:00:00Z				© all rights reserved	Charlotte Möller
3433855728	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/f79cb510-2ff7-422b-994a-a3b174991283_image.jpg	https://www.artportalen.se/Image/3528447					2021-08-05T00:00:00Z				© all rights reserved	Dennis JP Nyström
3433855728	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/3504cafc-a5a6-41c8-98da-f3d25d106cac_image.jpg	https://www.artportalen.se/Image/3528448					2021-08-05T00:00:00Z				© all rights reserved	Dennis JP Nyström
3433843852	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/947a6b49-9329-4153-a8f8-7eab366de0f9_image.jpg	https://www.artportalen.se/Image/3544054					2021-08-11T00:00:00Z				© all rights reserved	Hugo Karlström
